Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
PARKA LUMIERE,PARKA HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2025-03-31,2030-03-30,K-RERA/PRJ/TVM/078/2025,2025-07-02,25,4,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
TATVA,SRADHA CONSTRUCTIONS,Residential (Apartment),2025-05-02,2029-03-29,K-RERA/PRJ/TVM/168/2025,2025-12-18,16,0,Inprogress,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
Capkon Jade,CAPKON DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2025-10-01,2029-12-25,K-RERA/PRJ/KKD/063/2025,2025-06-10,65,38,Inprogress,Kozhikode,PANTHEERANKAVU,Kozhikode
Heather Scarlet,Heather Homes Private Limited,Residential (Apartment),2025-08-20,2029-08-19,K-RERA/PRJ/TVM/062/2025,2025-06-10,31,0,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
VARMA HAVEN,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2026-06-15,2031-06-14,K-RERA/PRJ/TSR/064/2026,2026-05-04,72,0,Inprogress,Thrissur,OLLUR,Thrissur
Insync,INTEGROW REALTY LLP,Villas (Plots & Buildings),2024-04-26,2030-05-04,K-RERA/PRJ/ERN/073/2025,2025-06-20,10,3,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
SKYLINE URBAN OASIS 2,M/s Skyline Builders,Villas (Plots & Buildings),2025-09-01,2030-06-01,K-RERA/PRJ/TVM/102/2025,2025-08-18,46,20,Inprogress,Thiruvananthapuram,MELTHONACKAL,THIRUVANANTHAPRUAM
Dymat Metro Garden,Dymat Eternal Solutions,Plots,2025-07-12,2027-07-12,K-RERA/PRJ/ERN/152/2025,2025-11-18,,0,Inprogress,Ernakulam,AIKARANAD NORTH,Kunnathunad
KBD Daffodils,KERATECH BUILDERS AND DEVELOPERS PRIVATE LIMITED,Plots,2012-02-29,2022-12-31,K-RERA/PRJ/TVM/049/2022,2022-03-24,,22,Completed,Thiruvananthapuram,VATTAPPARA,Nedumangad
CONDOR PRIMROSE,CONDOR BUILDERS PVT LTD,Residential (Apartment),2021-08-01,2025-12-31,K-RERA/PRJ/TVM/069/2021,2021-11-16,48,40,Completed,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
CREATIONS NEIL CASTLE,CREATIONS VILLAS & APARTMENTS PRIVATE LIMITED,Residential (Apartment),2021-06-03,2026-12-31,K-RERA/PRJ/TVM/104/2022,2022-06-08,24,9,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
"CONFIDENT OBERON, NEAR ALUVA, KOCHI",Confident Projects India Pvt Ltd,Residential (Apartment),2015-04-28,2019-08-31,K-RERA/PRJ/293/2020,2021-08-25,94,90,Completed,Ernakulam,ALANGAD,Paravur
VISHRAAM ICON,Vishraam Builders and Developers Pvt Ltd,Residential (Apartment),2019-05-01,2026-06-30,K-RERA/PRJ/143/2020,2021-07-27,75,66,Completed,Thrissur,THRISSUR,Thrissur
Jayaraj Srishti,Jayaraj Properties,Residential (Apartment),2021-07-15,2027-12-31,K-RERA/PRJ/PKD/039/2021,2021-08-24,83,83,Inprogress,Palakkad,PALAKKAD-2,Palakkad
VISHRAAM OPUS,Vishraam Builders and Developers Pvt Ltd,Residential (Apartment),2021-09-15,2027-12-15,K-RERA/PRJ/019/2021,2021-07-29,95,82,Inprogress,Thrissur,THRISSUR,Thrissur
HEATHER FERNS,Heather Homes Private Limited,Residential (Apartment),2019-12-16,2022-04-12,K-RERA/PRJ/240/2020,2021-07-05,82,74,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
CORDON LAUREL,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,Residential (Apartment),2018-08-01,2021-06-30,K-RERA/PRJ/177/2020,2021-05-31,13,11,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
SOWPARNIKA NATURA,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2018-05-01,2024-12-31,K-RERA/PRJ/334/2020,2021-07-21,74,49,Completed,Thrissur,PURANATTUKARA,Thrissur
SOWPARNIKA GRAND SQUARE,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2015-10-30,2023-08-31,K-RERA/PRJ/361/2020,2021-07-21,45,45,Completed,Thiruvananthapuram,KARAKULAM,Nedumangad
SOWPARNIKA ATRIUM,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2017-09-01,2023-12-30,K-RERA/PRJ/099/2021,2021-07-26,142,130,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
Aadithya Park,Aadithya Mansion India Private Limited,Plots,2022-12-31,2022-12-31,K-RERA/PRJ/TVM/027/2021,2021-07-05,,0,Completed,Thiruvananthapuram,VEILOOR,THIRUVANANTHAPRUAM
LE ROYALE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2018-03-17,2021-11-30,K-RERA/PRJ/019/2020,2021-07-10,56,56,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
THE SPRING WOODS BY FAVOURITE VALUE PLUS,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2019-12-30,2023-05-29,K-RERA/PRJ/033/2020,2021-07-02,80,80,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
Indraneelam Sanctum SanctorumTower - 2,Indraneelam Builders,Residential (Apartment),2016-09-01,2020-01-30,K-RERA/PRJ/134/2021,2021-07-15,54,54,Completed,Thrissur,GURUVAYUR,Chavakkad
VT Trine,Vee Tee Engineers Constructions Private Limited,Mixed (Commercial & Residential),2010-11-30,2023-03-31,K-RERA/PRJ/138/2021,2021-09-24,156,81,Completed,Ernakulam,KAKKANAD,Kanayannur
Court Yard,The Keral Judicial Officers Cocoperative Society Ltd No 4475,Residential (Apartment),2019-03-20,2023-06-30,K-RERA/PRJ/245/2020,2021-07-12,66,66,Completed,Ernakulam,ERNAKULAM,Kanayannur
DAHLIA VILLAS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2021-07-01,2026-06-01,K-RERA/PRJ/PKD/037/2021,2021-08-13,9,0,Completed,Palakkad,MARUTHUROAD,Palakkad
CASADEL AWAKENED LIVING,CASADEL BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2025-11-20,2030-04-20,K-RERA/PRJ/ERN/121/2025,2025-09-08,40,1,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
ARCON PEARL,ARCON HOME DEVELOPERS PVT LTD,Residential (Apartment),2025-08-20,2029-08-30,K-RERA/PRJ/TVM/117/2025,2025-09-08,21,2,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
Ishna residence,Anil  Kuyilath,Mixed (Commercial & Residential),2022-03-02,2026-04-08,K-RERA/PRJ/TSR/150/2025,2025-11-15,13,5,Completed,Thrissur,PUZHAKKAL,Thrissur
MABCO OPULENCE PHASE II,MABCO DEVELOPERS LLP,Residential (Apartment),2025-09-15,2030-08-05,K-RERA/PRJ/MPM/066/2026,2026-05-04,16,0,Inprogress,Malappuram,PERINTALMANNA,Perinthalmanna
GREEN VALLEY,PVS Builders & Developers,Residential (Apartment),2015-06-25,2017-08-24,K-RERA/PRJ/KNR/008/2026,2026-01-12,69,69,Completed,Kannur,EDAKKAD,Kannur
AALAM,Revathy S  ,Plots,2025-09-01,2026-06-30,K-RERA/PRJ/PKD/151/2025,2025-11-18,,0,Completed,Palakkad,PADAVAYAL,Attappadi Tribal
TRINITY LAUREL,TRINITY ARCADE PVT LTD,Residential (Apartment),2025-10-01,2032-12-31,K-RERA/PRJ/ERN/135/2025,2025-10-15,50,14,Inprogress,Ernakulam,KAKKANAD,Kanayannur
PSD LUXE,PSD Property Developers Private Limited,Residential (Apartment),2017-05-03,2027-12-31,K-RERA/PRJ/TVM/011/2026,2026-02-02,10,1,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
Kovilakam Sobhanam,Sasidharan  M,Residential (Apartment),2025-11-14,2028-11-30,K-RERA/PRJ/TSR/012/2026,2026-02-02,20,1,Inprogress,Thrissur,GURUVAYUR,Chavakkad
LIV AURA,Indraneelam Builders,Villas (Plots & Buildings),2025-12-01,2031-12-31,K-RERA/PRJ/TSR/015/2026,2026-02-03,31,0,Inprogress,Thrissur,THAIKKAD CHAVAKKAD,Chavakkad
SFS LE JARDIN,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2026-01-01,2030-10-23,K-RERA/PRJ/ERN/035/2026,2026-03-07,55,0,Inprogress,Ernakulam,NADAMA,Kanayannur
EAST ENCLAVE,Chothy's Building Promoters Pvt Ltd,Villas (Plots & Buildings),2025-11-20,2030-11-19,K-RERA/PRJ/TVM/048/2026,2026-03-27,39,0,Inprogress,Thiruvananthapuram,MELTHONACKAL,THIRUVANANTHAPRUAM
PEARL PREMIUM APARTMENTS,S A Homes,Residential (Apartment),2025-11-10,2030-11-09,K-RERA/PRJ/PKD/057/2026,2026-04-23,40,0,Inprogress,Palakkad,PALAKKAD-3,Palakkad
Waterlilly Apartments,Kizhakkekara Benchmark Builders,Residential (Apartment),2011-11-23,2026-04-05,K-RERA/PRJ/ERN/029/2026,2026-02-17,8,0,Completed,Ernakulam,ELAMKULAM,Kanayannur
VIHARA,SHRI HARI FABTECH INDIA PRIVATE LIMITED,Plots,2025-12-20,2030-11-26,K-RERA/PRJ/TSR/039/2026,2026-03-13,,0,Inprogress,Thrissur,CHERUTHURUTHY,THALAPPILLY
DREAMFLOWER SACRO ESQUINA,DREAM FLOWER HOUSING PROJECTS PVT LTD,Mixed (Commercial & Residential),2026-01-12,2028-12-30,K-RERA/PRJ/ERN/025/2026,2026-02-12,21,9,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur
CONFIDENT LEGACY,Confident Projects Residential,Residential (Apartment),2026-01-27,2031-01-26,K-RERA/PRJ/ERN/027/2026,2026-02-13,88,6,Inprogress,Ernakulam,POONITHURA,Kanayannur
ELITE ANANTA,ELITE GARDENIA LLP,Residential (Apartment),2026-03-25,2030-11-14,K-RERA/PRJ/TVM/054/2026,2026-04-23,12,0,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
CASADEL GLOBALTOWN,CASADEL BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2026-06-15,2030-12-20,K-RERA/PRJ/ERN/074/2026,2026-05-26,65,0,Inprogress,Ernakulam,POONITHURA,Kanayannur
ABAD EUPHORIA,ABAD BUILDERS PVT LTD,Residential (Apartment),2026-04-01,2030-03-31,K-RERA/PRJ/ERN/083/2026,2026-05-30,99,0,Inprogress,Ernakulam,KUMBALAM,Kanayannur
Yeskay Amandus Apartments,Yeskay Builders,Residential (Apartment),2026-04-01,2030-03-31,K-RERA/PRJ/ERN/043/2026,2026-03-21,64,0,Inprogress,Ernakulam,MARADU,Kanayannur
AUREX BROOKSIDE,AUREX BUILDERS PVT LTD,Residential (Apartment),2026-02-15,2029-11-30,K-RERA/PRJ/TSR/078/2026,2026-05-26,68,0,Inprogress,Thrissur,THRISSUR,Thrissur
SKYLINE ZORA,M/s Skyline Builders,Residential (Apartment),2026-03-15,2028-10-31,K-RERA/PRJ/ERN/061/2026,2026-04-23,46,0,Inprogress,Ernakulam,KAKKANAD,Kanayannur
INFINITY TWIN TOWERS,KUNNAPPILLY BUILDERS LLP,Mixed (Commercial & Residential),2026-04-01,2030-03-31,K-RERA/PRJ/ERN/077/2026,2026-05-26,92,0,Inprogress,Ernakulam,KAKKANAD,Kanayannur
Jayaraj Thejus,Jayaraj Properties,Residential (Apartment),2017-04-04,2020-11-04,K-RERA/PRJ/004/2021,2021-07-05,15,15,Completed,Palakkad,PALAKKAD-2,Palakkad
ARYA,Chothy's Building Promoters Pvt Ltd,Residential (Apartment),2019-04-05,2022-03-29,K-RERA/PRJ/054/2020,2021-08-02,26,14,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
Nikunjam Meridian,Nikunjam Constructions Private Limited,Residential (Apartment),2017-07-01,2020-12-30,K-RERA/PRJ/278/2020,2021-07-09,57,57,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
SPACE RUBY MANSION,SOBHA PARVATHY AJITH CONSULTANT ENGINEERS AND BUILDERS Pvt Ltd,Residential (Apartment),2013-02-15,2024-12-28,K-RERA/PRJ/073/2021,2021-08-02,30,0,Inprogress,Thiruvananthapuram,VATTAPPARA,Nedumangad
VISHRAAM CIVAANTA,VISHRAAM BUILDERS,Residential (Apartment),2016-08-26,2022-06-30,K-RERA/PRJ/085/2021,2021-07-19,20,20,Completed,Thrissur,THRISSUR,Thrissur
SOWPARNIKA RIVER VIEW GARDENS PHASE 3,Sowparnika Projects,Residential (Apartment),2014-06-01,2024-12-31,K-RERA/PRJ/141/2021,2022-02-04,48,48,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
PRISUNIC PORTICO,PRISUNIC BUILDERS PVT LTD,Residential (Apartment),2019-11-15,2022-08-27,K-RERA/PRJ/121/2021,2022-03-07,14,13,Completed,Kozhikode,VALAYANAD,Kozhikode
NATE VENECIA,NATE BUILDERS PRIVATE LIMITED,Mixed (Commercial & Residential),2019-10-29,2023-02-25,K-RERA/PRJ/161/2021,2021-07-29,66,3,Completed,Alappuzha,MULLACKAL,Ambalappuzha
WINDS OF CHANGE,ICLOUD HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2018-03-23,2024-09-30,K-RERA/PRJ/182/2021,2021-08-26,120,106,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
THE SERENEBAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Villas (Plots & Buildings),2019-04-10,2022-07-31,K-RERA/PRJ/144/2020,2021-07-15,36,36,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
POWERLINK GRAND HILLS,Powerlink Builders Pvt Ltd,Residential (Apartment),2010-10-26,2019-08-10,K-RERA/PRJ/330/2020,2021-07-23,21,21,Completed,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
THE PETALS VILLAS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Villas (Plots & Buildings),2015-06-03,2020-11-15,K-RERA/PRJ/151/2021,2022-02-19,68,68,Completed,Thiruvananthapuram,MANIKKAL,Nedumangad
SUPER GOOD NEST,SUPER GOOD HOMES,Residential (Apartment),2013-06-12,2021-02-20,K-RERA/PRJ/069/2021,2021-11-29,23,12,Completed,Palakkad,PALAKKAD-3,Palakkad
POWERLINK SHYAMAMOHANAM,Powerlink Builders Pvt Ltd,Residential (Apartment),2014-02-25,2019-12-24,K-RERA/PRJ/154/2021,2021-09-09,20,20,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
SUPER GOOD HOMES JEEVA APARTMENTS,SUPER GOOD HOMES,Residential (Apartment),2012-06-11,2022-02-01,K-RERA/PRJ/057/2021,2021-08-10,24,5,Inprogress,Palakkad,PIRIYARI,Palakkad
NUCLEUS RIVA APARTMENT,NUCLEUS PREMIUM PROPERTIES PVT LTD,Residential (Apartment),2014-12-24,2022-06-30,K-RERA/PRJ/281/2020,2021-08-27,40,40,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur
SOWPARNIKA RIVER VIEW GARDENS PHASE 4,Sowparnika Projects,Residential (Apartment),2016-04-01,2024-12-31,K-RERA/PRJ/185/2021,2021-08-27,40,40,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
GALAXY MIDWINTER,GALAXY HOMES PVT LTD,Residential (Apartment),2015-02-10,2020-03-16,K-RERA/PRJ/003/2021,2022-03-07,40,36,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
GALAXY PINE COURT BLOCK I,GALAXY HOMES PVT LTD,Residential (Apartment),2013-03-26,2022-08-22,K-RERA/PRJ/118/2021,2022-03-04,90,87,Completed,Ernakulam,KAKKANAD,Kanayannur
GALAXY CLOUDSPACE,GALAXY HOMES PVT LTD,Residential (Apartment),2012-12-19,2022-06-04,K-RERA/PRJ/122/2021,2022-03-07,140,125,Completed,Ernakulam,KAKKANAD,Kanayannur
PUTRI BHOOMI,PUTRI BUILDERS AND CONTRACTORS PRIVATE LIMITED,Residential (Apartment),2021-07-16,2023-07-15,K-RERA/PRJ/KLM/034/2021,2021-08-04,85,0,Inprogress,Kollam,KOLLAM WEST,Kollam
DD QUEENS SQUARE,DESAI HOMES,Residential (Apartment),2021-09-01,2026-12-31,K-RERA/PRJ/ERN/044/2021,2021-08-26,120,88,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
SANROYAL- EVANIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2016-07-22,2021-04-21,K-RERA/PRJ/092/2021,2022-01-28,31,31,Completed,Thrissur,NADATHARA,Thrissur
THE CLOUD VILLE,BUILDOWN DEVELOPERS PRIVATE LIMITED,Villas (Plots & Buildings),2021-05-04,2026-05-03,K-RERA/PRJ/ERN/060/2021,2021-10-06,17,16,Completed,Ernakulam,KAKKANAD,Kanayannur
CONFIDENT HORIZON,Confident Projects Residential,Residential (Apartment),2021-10-06,2026-10-06,K-RERA/PRJ/TVM/046/2021,2021-08-26,100,90,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
One Anthem,ULCCS IT Infrastructure Private Limited,Residential (Apartment),2020-01-08,2023-08-30,K-RERA/PRJ/KKD/062/2021,2021-11-02,150,0,Completed,Kozhikode,NELLIKODE,Kozhikode
THE KALLAT PEARL PHASE-1,KALLAT PEARL BUILDERS LLP,Villas (Plots & Buildings),2019-12-09,2024-12-31,K-RERA/PRJ/WYD/083/2021,2021-12-24,46,46,Inprogress,Wayanad,THOMATTUCHAL,SULTHANBATHERY
DD KINGS SQUARE,SEA WIND REALTORS INDIA PRIVATE LIMITED,Residential (Apartment),2022-01-27,2027-03-31,K-RERA/PRJ/ERN/008/2022,2022-01-19,111,90,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
THE LANTERN BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Villas (Plots & Buildings),2021-10-15,2024-11-10,K-RERA/PRJ/TVM/067/2021,2021-11-12,31,31,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
Hoysala EVM,Hoysala Projects Pvt Ltd,Residential (Apartment),2012-01-13,2022-07-31,K-RERA/PRJ/142/2021,2022-02-10,130,87,Completed,Ernakulam,KANAYANNUR,Kanayannur
MABCO CLOUDS VILLAS,MABCO DEVELOPERS LLP,Villas (Plots & Buildings),2018-09-10,2022-03-18,K-RERA/PRJ/203/2021,2022-07-18,27,27,Completed,Malappuram,VALAMBUR,Perinthalmanna
PSD Himam,PETER SUNDER DHAS,Plots,2021-02-22,2030-12-31,K-RERA/PRJ/TVM/005/2022,2022-01-06,,0,Inprogress,Thiruvananthapuram,VATTAPPARA,Nedumangad
INAYA GARDENS,CHANDY'S BUILDERS,Villas (Plots & Buildings),2019-09-27,2023-09-30,K-RERA/PRJ/178/2020,2022-03-07,13,13,Inprogress,Kottayam,PEROOR,Kottayam
VAIDYA ROSE GARDEN,VAIDYA HOMES,Villas (Plots & Buildings),2019-10-30,2026-03-31,K-RERA/PRJ/190/2021,2022-03-07,15,14,Completed,Kollam,VADAKKEVILA,Kollam
SINDHUJA REGENCY,SAPTHAVARNA BUILDERS PVT LTD,Mixed (Commercial & Residential),2023-03-03,2027-12-31,K-RERA/PRJ/TSR/054/2023,2023-03-23,36,13,Inprogress,Thrissur,AYYANTHOLE,Thrissur
NSD FERNTREE HEIGHTS,FTH OWNERS ASSOCIATION,Residential (Apartment),2012-09-06,2022-03-03,K-RERA/PRJ/332/2020,2022-07-19,60,60,Completed,Thiruvananthapuram,VATTAPPARA,Nedumangad
HiLITE MALL THRISSUR,HiLITE MALL THRISSUR LLP,Shops/Office Space (Commercial),2017-09-22,2024-06-30,K-RERA/PRJ/194/2021,2021-12-23,335,9,Completed,Thrissur,OLLUR,Thrissur
DANCING WOODS,CASADEL BUILDERS INDIA PRIVATE LIMITED,Plots,2020-08-10,2026-08-10,K-RERA/PRJ/001/2021,2022-03-07,,36,Inprogress,Ernakulam,ALUVA EAST,Aluva
Sophia Estelia,Joyce  George,Residential (Apartment),2019-11-20,2023-04-11,K-RERA/PRJ/ERN/080/2022,2022-05-10,13,5,Completed,Ernakulam,KAKKANAD,Kanayannur
FORMZ ERA PHASE -1,FORMZ PROJECTS PVT LTD,Villas (Plots & Buildings),2017-04-29,2028-02-28,K-RERA/PRJ/193/2021,2022-03-07,29,3,Inprogress,Malappuram,NARUKARA,Ernad
FERRO FORTUNE,Ferro Engineers And Developers,Residential (Apartment),2019-08-08,2020-10-26,K-RERA/PRJ/ERN/042/2022,2022-03-16,30,10,Completed,Ernakulam,ALUVA EAST,Aluva
SFS HAVELI,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2021-11-01,2023-12-31,K-RERA/PRJ/ERN/070/2021,2021-11-18,18,16,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
CHEVRON EASTWIND,Chevron Builders and Realtors Private Limited,Villas (Plots & Buildings),2014-09-25,2026-06-30,K-RERA/PRJ/TVM/092/2023,2023-05-27,19,13,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
NavaDe,ANASVARA PROPERTIES,Residential (Apartment),2022-02-01,2025-12-01,K-RERA/PRJ/ERN/014/2022,2022-02-04,24,19,Inprogress,Ernakulam,MARADU,Kanayannur
DASARADHA PETALS,PUTHANVEEDU  RAJESH,Residential (Apartment),2019-12-31,2023-12-31,K-RERA/PRJ/PKD/019/2022,2022-02-11,12,0,Completed,Palakkad,PALAKKAD-2,Palakkad
WELL N WORTH PANKAJ ENCLAVE,Well N Worth Pankaj Enclave,Residential (Apartment),2014-09-19,2019-12-31,K-RERA/PRJ/197/2021,2022-03-07,48,21,Completed,Thrissur,IRINGAPRAM,Chavakkad
Skylark Villas,Glenwood Developers,Villas (Plots & Buildings),2022-01-03,2025-01-03,K-RERA/PRJ/ERN/010/2022,2022-01-21,12,6,Inprogress,Ernakulam,NEDUMBASSERY,Aluva
TBPL MAANAS,Thrissur Builders Private Limited,Residential (Apartment),2022-01-01,2026-12-31,K-RERA/PRJ/TSR/084/2021,2021-12-28,53,38,Completed,Thrissur,ARANATTUKARA,Thrissur
SHANOOR CYBER CLOUD,SHANOOR PROJECTS AND REALTORS PVT LTD,Residential (Apartment),2018-08-01,2028-11-30,K-RERA/PRJ/TVM/157/2022,2022-09-30,69,44,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Ambalath Ayesha Homes,Abdul  Rasheed,Residential (Apartment),2019-04-26,2020-12-04,K-RERA/PRJ/TSR/167/2022,2022-10-17,24,0,Completed,Thrissur,GURUVAYUR,Chavakkad
ELIXIR GARDENS,Elixir Properties,Plots,2011-01-07,2025-12-31,K-RERA/PRJ/PTA/187/2022,2022-11-14,,10,Inprogress,Pathanamthitta,PURAMATTOM,MALLAPPALLY
THE GARDEN COURT BY FAVOURITE VALUE PLUS,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2022-01-10,2025-12-31,K-RERA/PRJ/TVM/006/2022,2022-01-10,196,162,Completed,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
GREENRICH VILLAS,INDUS GRATIA CREATIVE HOMES PVT LTD,Villas (Plots & Buildings),2017-09-11,2024-03-31,K-RERA/PRJ/ERN/069/2022,2022-04-19,10,10,Completed,Ernakulam,MANAKUNNAM,Kanayannur
Shivam Apartments,S A Homes,Residential (Apartment),2022-02-15,2023-06-30,K-RERA/PRJ/PKD/026/2022,2022-02-21,19,7,Completed,Palakkad,PALAKKAD-2,Palakkad
SEVENTH AVENUE,INHOUSE PROJECTS INDIA PRIVATE LIMITED,Villas (Plots & Buildings),2022-01-01,2024-01-31,K-RERA/PRJ/ERN/016/2022,2022-02-11,10,5,Inprogress,Ernakulam,THIRUVANIYOOR,Kunnathunad
SNR SHASTHA,SNR BUILDERS,Mixed (Commercial & Residential),2019-12-31,2024-07-15,K-RERA/PRJ/TVM/044/2022,2022-03-22,12,11,Completed,Thiruvananthapuram,PALLICHAL,Neyyattinkara
CHEVRON BROOKVILLE,Chevron Builders and Realtors Private Limited,Villas (Plots & Buildings),2019-06-01,2024-06-30,K-RERA/PRJ/TVM/158/2022,2022-10-06,22,18,Completed,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
PEPPER VINE,Synthite Infrastructure Project Pvt Ltd,Residential (Apartment),2019-12-16,2024-09-30,K-RERA/PRJ/029/2021,2022-03-07,32,15,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
Provident Winworth Phase 1,Purva Realities Private Limited,Residential (Apartment),2022-02-20,2026-06-30,K-RERA/PRJ/ERN/020/2022,2022-02-15,515,499,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
THE MAPLE BAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2022-02-16,2025-06-30,K-RERA/PRJ/TVM/017/2022,2022-02-11,75,67,Completed,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
SKY AT 11,ERA HOMES AND PROJECTS PVT LTD,Residential (Apartment),2022-07-01,2026-12-31,K-RERA/PRJ/ERN/172/2022,2022-10-26,18,1,Inprogress,Ernakulam,MARADU,Kanayannur
PAMANT,VAIPPIL VILLAS AND APARTMENTS,Residential (Apartment),2022-02-28,2023-12-31,K-RERA/PRJ/ERN/073/2022,2022-05-04,16,0,Completed,Ernakulam,VAZHAKKALA,Kanayannur
ARTECH LUXUS,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2015-02-01,2020-01-21,K-RERA/PRJ/TVM/077/2022,2022-05-06,72,72,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
BEVERLY HILLS,PALLIKKARA PROPERTIES AND INVESTMENT SERVICES PRIVATE LIMITED,Plots,2022-02-15,2023-04-30,K-RERA/PRJ/ERN/059/2022,2022-03-30,,42,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
HEALERS HAVEN,TELLICHERRY IMA DOCTORS ALLIANCE LLP,Residential (Apartment),2022-03-01,2026-08-31,K-RERA/PRJ/KNR/041/2022,2022-03-11,137,103,Inprogress,Kannur,EDAKKAD,Kannur
NTP LORDS VALLEY,NTP HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2010-10-30,2023-07-31,K-RERA/PRJ/KTM/048/2022,2022-03-24,43,43,Inprogress,Kottayam,PERUMBAYIKKADU,Kottayam
Sowparnika River View Gardens Phase 1,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2014-03-01,2024-12-31,K-RERA/PRJ/009/2022,2022-03-07,55,55,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
